,Course Code,Course,EOS,Mid
424,NC003,Computing (Degree Award options),261,316
425,NC005,Human Resource Management,297,320
426,NC009,Business,297,339
427,NC010,Psychology,366,399
428,NC020,Marketing Practice,270,307
429,NC022,Accounting and Finance,338,376
430,NC023,Technology Management (with specialisations),260,303
431,NC025,Data Science,297,371
432,RC001,Medicine - Undergraduate Entry (HPAT required),729,733
433,RC004,Physiotherapy,532,542
434,RC005,Pharmacy,555,566
435,RC101,Medicine - Graduate Entry (GAMSAT required), 60,    62
436,TR002,Music, 414,473
437,TR003,History,486 ,518
438,TR004,Law,532,    552
439,TR005,Philosophy,391,    446
440,TR006,Psychology,555,577
441,TR007,Clinical Speech and Language Studies,499,    529
442,TR009,Music Education, 430,465
443,TR012,History and Political Science,532,557
444,TR015,"Philosophy, Political Science, Economics and Sociology",566,    577
445,TR016,Deaf Studies,337,    372
446,TR017,Law and Business,576,    589
447,TR018,Law and French,532,554
448,TR019,Law and German,523 ,555
449,TR020,Law and Political Science,567,    600
450,TR021,"Classics, Ancient History and Archaeology",377 ,495
451,TR022,Early and Modern Irish,347 ,407
452,TR023,English Studies,463 ,511
453,TR024,European Studies,520,    544
454,TR025,Drama and Theatre Studies, 489,531
455,TR028,Ancient and Medieval History and Culture,339,    451
456,TR029,Political Science and Geography,477,    500
457,TR031,Mathematics,566,    589
458,TR032,Engineering,487 ,520
459,TR033,Computer Science,465,488
460,TR034,Management Science and Information Systems Studies,589,602
461,TR035,Theoretical Physics,554,    601
462,TR038,Engineering with Management,499 ,543
463,TR039,Computer Science and Language,435,    498
464,TR040,Middle Eastern and European Languages and Cultures,485,    518
465,TR041,Religion,347,    393
466,TR051,Medicine (HPAT required), 730,739
467,TR052,Dental Science,590 ,602
468,TR053,Physiotherapy,533 ,544
469,TR054,Occupational Therapy,500,    520
470,TR055,Radiation Therapy,510 ,521
471,TR056,Human Health and Disease,543,    565
472,TR060,Biological and Biomedical Sciences,510 ,542
473,TR061,Chemical Sciences,488 ,520
474,TR062,Geography and Geoscience,435,485
475,TR063,Physical Sciences,498 ,543
476,TR072,Pharmacy,555 ,577
477,TR080,Global Business,565 ,577
478,TR081,"Business, Economic and Social Studies (BESS)",518,542
479,TR082,Computer Science and Business,510,    542
480,TR083,Sociology and Social Policy,451,    474
481,TR084,Social Studies (Social Work),420,462
482,TR085,Business Studies and French,509,    553
483,TR086,Business Studies and German,474 ,495
484,TR087,Business Studies and Russian,467,    487
485,TR089,Business Studies and Polish,393,    434
486,TR090,Business Studies and Spanish,510,    543
487,TR091,General Nursing (Meath and St James's),393,420
488,TR093,General Nursing (Adelaide School of Nursing), 378,409
489,TR095,Mental Health Nursing,358,    377
490,TR097,Intellectual Disability Nursing,346,    350
491,TR911,Children's and General Nursing (Integrated),476,487
492,TR913,Midwifery,423,    462
493,DN100,Architecture,473,    509
494,DN120,Landscape Architecture,353,    403
495,DN130,City Planning and Environmental Policy,367,    421
496,DN150,Engineering (Common Entry),511,    554
497,DN200,Science (options),521 ,554
498,DN201,Computer Science (Common Entry),488 ,509
499,DN230,Actuarial and Financial Studies,577 ,589
500,DN250,Agricultural Science (options),420,    462
501,DN252,Dairy Business,398,428
502,DN253,Agri - Environmental Sciences,403,    419
503,DN261,Food Science,434,    467
504,DN262,Human Nutrition,493,    510
505,DN271,Forestry,303,    361
506,DN272,"Horticulture, Landscape and Sportsturf Management",252,    312
507,DN300,Veterinary Medicine - Undergraduate Entry,567,589
508,DN301,Veterinary Medicine - Graduate Entry, ,
509,DN310,Veterinary Nursing,441 ,487
510,DN400,Medicine - Undergraduate Entry (HPAT required), 735,745
511,DN401,Medicine - Graduate Entry (GAMSAT required), 59,61
512,DN410,Radiography,507,    522
513,DN411,Radiography - Graduate Entry, ,
514,DN420,Physiotherapy,542 ,555
515,DN425,Health and Performance Science,488,    509
516,DN430,Sport and Exercise Management,436,    455
517,DN440,"Biomedical, Health and Life Sciences",565,579
518,DN450,General Nursing,398 ,420
519,DN451,Children's and General Nursing (Integrated),462,499
520,DN452,Midwifery,409,    452
521,DN453,Mental Health Nursing,379,    403
522,DN520,Arts (Two Subjects),336 ,408
523,DN530,Humanities (options),348,    411
524,DN541,Modern Languages (options),348 ,412
525,DN600,Law (options),520 ,532
526,DN610,Business and Law,521 ,543
527,DN650,Commerce,498 ,510
528,DN660,Commerce International (options),507,    531
529,DN670,Economics and Finance,601,    601
530,DN700,Social Sciences (options),388,    441
531,DN710,Economics,476 ,488
532,DN720,Psychology,517,    531
533,DN750,Social Policy and Sociology,330 ,366
534,DK810,Accounting and Finance,306 ,391
535,DK816,Business Studies,300,    357
536,DK820,Computing in Games Development,307,369
537,DK821,Computing in Software Development,301,347
538,DK830,Building Surveying,302,349
539,DK831,Architectural Technology,301,    366
540,DK832,Construction Management,300 ,329
541,DK843,Engineering (Common Entry),303,    402
542,DK860,Music, 499,649
543,DK861,Arts,300,    358
544,DK862,Social Care,300 ,338
545,DK863,Creative Media,300 ,376
546,DK864,Film and Television Production,300,    332
547,DK865,Audio and Music Production,301,    346
548,DK870,General Nursing,392 ,401
549,DK872,Intellectual Disability Nursing,300 ,317
550,DK874,Mental Health Nursing,356,    378
551,DK876,Early Childhood Studies,305 ,359
552,DK877,Midwifery,398 ,441
553,DK880,Health and Physical Activity,300,367
554,DK882,Agriculture (Award options),303 ,358
555,DK883,Science (Award options),300,    369
556,GA181,Accounting,303,    378
557,GA182,Business,290,    347
558,GA183,Business Information Systems,309 ,373
559,GA184,Marketing and Sales,307,    348
560,GA185,Finance and Economics,307 ,398
561,GA186,Business with Entrepreneurship,297 ,328
562,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280 ,367
563,GA281,Film and Documentary,287,    360
564,GA282,Heritage Studies,238,    308
565,GA283,Contemporary Art,260 ,340
566,GA284,Design,309,377
567,GA380,International Hotel Management,225 ,289
568,GA381,International Tourism Management,261,    290
569,GA382,Culinary and Gastronomic Science,225,    316
570,GA384,Event Management with Public Relations,209 ,289
571,GA385,Retail Management,219 ,319
572,GA480,Construction Management,260 ,312
573,GA482,Quantity Surveying and Construction Economics,280 ,340
574,GA483,Architectural Technology,251 ,321
575,GA484,Civil Engineering,270 ,362
576,GA580,Software and Electronic Engineering,301 ,351
577,GA680,Mechanical Engineering,336 ,389
578,GA681,Energy Engineering,281,    328 
579,GA682,Biomedical Engineering,331,    383
580,GA683,Agricultural Engineering,301,    365
581,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346 ,406
582,GA780,Applied Freshwater and Marine Biology,300,    360
583,GA781,Applied Biology and Biopharmaceutical Science,317,    376
584,GA782,Chemical and Pharmaceutical Science,307 ,346
585,GA783,Physics and Instrumentation,373,    378
586,GA784,Science (Undenominated),327,    377
587,GA785,Medical Science,451,    486
588,GA786,Forensic Science and Analysis,300,    366
589,GA787,Computing in Software Development,275,    327
590,GA788,Computing and Digital Media,270,    327
591,GA789,Agriculture and Environmental Management (Mountbellew Campus),297 ,339
592,GA790,Sport and Exercise Science,350 ,379
593,GA791,Public Health Nutrition,364 ,397
594,GA880,General Nursing - Mayo Campus,389,400
595,GA882,Psychiatric Nursing - Mayo Campus,346,    370
596,GA885,Outdoor Education - Mayo Campus,210,    298
597,GA887,History and Geography - Mayo Campus,228,    296
598,GA889,Applied Social Care - Mayo Campus,260 ,297
599,GA890,Early Childhood Care and Education - Mayo Campus,278,    319
600,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,    389
601,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,    350
602,GA982,Furniture and Wood Technology - Letterfrack Campus,270,    352
603,GY101,Arts (Joint-Honours),300,    374
604,GY104,Arts (Psychology),507 ,529
605,GY105,Arts (History),318,    358
606,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,    397
607,GY109,Arts (Mathematics and Education),411,    487
608,GY110,Arts with Children's Studies,382,    409
609,GY111,Arts with Creative Writing,402 ,472
610,GY112,Arts with Film Studies,338 ,370
611,GY113,Arts with Human Rights,338 ,409
612,GY115,Arts with Performing Arts Studies,328 ,367
613,GY118,"Arts (Drama, Theatre and Performance Studies)",410,    451
614,GY119,Journalism,410,475
615,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,    346
616,GY121,Arts (Children's Studies),356 ,389
617,GY122,Na Dána (Cumarsáid agus Gaeilge) ,308 ,399
618,GY123,BSc (Applied Social Sciences),357,    388
619,GY124,Arts (Arts with Data Science),434,    466
620,GY125,Arts (Digital Arts and Technology),324 ,379
621,GY126,Arts (English and Media Studies),418,    451
622,GY127,Arts (Film and Digital Media),387,    435
623,GY128,Arts (Global Languages),370,    440
624,GY129,Arts (International),408,    477
625,GY130,Arts (Music),400 ,444
626,GY131,Arts (History and Globalisation Studies),340,    431
627,GY132,"Government (Politics, Economics and Law)",402,    444
628,GY133,Education (Computer Science and Mathematical  Studies),401,    466
629,GY201,Commerce,420,    453
630,GY202,Commerce (International) with French,484 ,513
631,GY203,Commerce (International) with German,489,    541
632,GY204,Commerce (International) with Spanish,484,    500
